step,t,atom_id,mol_id,x,y,z,vx,vy,syy,xlo,xhi,ylo,yhi,zlo,zhi
0,0.0,2033,41.0,-6.58129,-7.63806,-3.30861,0.336943,-5.81796,0.0,-8.37,8.37,-8.37,8.37,-4.22,4.22
1,0.25,2033,41.0,-6.99273,-7.60847,-3.47857,-1.62049,2.71384,45.0329,-8.464,8.464,-8.351,8.351,-4.254,4.254
2,0.5,2033,41.0,-6.83868,-7.35364,-3.51652,-5.72001,0.999854,142.838,-8.557,8.557,-8.332,8.332,-4.318,4.318
3,0.75,2033,41.0,-6.63376,-7.15764,-3.45353,-2.93492,3.03975,-39.8194,-8.651,8.651,-8.313,8.313,-4.364,4.364
4,1.0,2033,41.0,-6.94045,-7.35545,-3.6218,4.83821,-1.55593,-55.2771,-8.745,8.745,-8.293,8.293,-4.409,4.409
5,1.25,2033,41.0,-6.56277,-7.10861,-3.84256,1.79959,-1.66827,10.4979,-8.838,8.838,-8.273,8.273,-4.44,4.44
6,1.5,2033,41.0,-6.39379,-7.05321,-4.08073,-5.76656,-2.36462,-0.567575,-8.932,8.932,-8.253,8.253,-4.466,4.466
7,1.75,2033,41.0,-6.5002,-7.11236,-4.0924,-2.37713,-2.63806,-142.047,-9.026,9.026,-8.232,8.232,-4.476,4.476
8,2.0,2033,41.0,-6.43656,-7.30302,-4.14397,2.65845,1.62036,11.5601,-9.12,9.12,-8.211,8.211,-4.484,4.484
9,2.25,2033,41.0,-6.37148,-7.08883,-4.05411,-0.298564,-3.16008,-33.4715,-9.214,9.214,-8.19,8.19,-4.509,4.509
10,2.5,2033,41.0,-6.17377,-7.05569,-3.91769,0.647759,-2.49553,17.9753,-9.308,9.308,-8.169,8.169,-4.53,4.53
11,2.75,2033,41.0,-5.95166,-7.08348,-3.76596,2.80436,0.475698,-16.9431,-9.402,9.402,-8.148,8.148,-4.539,4.539
12,3.0,2033,41.0,-5.80712,-7.08724,-4.06861,-0.236942,3.78221,98.3674,-9.496,9.496,-8.126,8.126,-4.558,4.558
